"movieTitle","ReviewVolume","PositiveReviews","NegativeReviews","TotalReviews","ReviewValence","Rank","Opening","DomesticGross","% of Total","Theaters","Average","Date","Distributor","WeeksInTheater","movieYear","maingenre","sidegenre","budget","movieId","BoxOfficeLegs","ReleaseDate","release_season","avgBuzz","log_BoxOfficeLegs","log_ReviewVolume"
"2012",14393,9702,4691,14393,0.674077676648371,162,65237614,166112167,39.3,3404,19164,"Nov 13, 2009","Sony Pictures Releasing",6.4,2009,"Adventure","Science Fiction",2e+08,"843f9ea8-c0ff-3271-8f50-2d23e88623ae",2.54626367849689,2009-11-13,"Autumn",25.3333333333333,1.26589456430568,9.57456673206775
"22 Jump Street",2178,1873,305,2178,0.859963269054178,195,57071445,191719337,29.8,3.306,17262,"Jun 13, 2014","Sony Pictures Releasing",6.7,2014,"Comedy","Contemporary Fiction",5e+07,"c594a1e8-3749-370f-a4ca-9b0f1614cf83",3.35928653987997,2014-06-13,"Summer",29.953488372093,1.47230840632863,7.68662133494462
"300",10665,9972,693,10665,0.935021097046413,133,70885301,210614939,33.7,3103,22844,"Mar 9, 2007","Warner Bros.",6.8,2007,"Action","Historical Fiction",6e+07,"9b5ed19d-d58e-353a-b773-7c9bd87949b3",2.97120751451701,2007-03-09,"Spring",29.9166666666667,1.37907020827984,9.27481639116055
"300: Rise of an Empire",1705,1164,541,1705,0.682697947214076,287,45038460,106580051,42.3,3.47,12979,"Mar 7, 2014","Warner Bros.",4.6,2014,"Action","Historical Fiction",1.1e+08,"2cb14b3b-b0c5-3e21-b413-e7218d39355e",2.36642307485647,2014-03-07,"Spring",25.2222222222222,1.2138507785584,7.44190672805162
"A Quiet Place",3467,2801,666,3467,0.807903086241707,250,50203562,188024361,26.7,3.508,14311,"Apr 6, 2018","Paramount Pictures",7.5,2018,"Horror","Science Fiction",1.7e+07,"221fa839-d26f-3339-a64a-9eaf6b39674c",3.74523945133614,2018-04-06,"Spring",31.0555555555556,1.55714189471616,8.15133333790043
"A Quiet Place Part II",4585,4260,325,4585,0.929116684841876,268,47547231,160072261,29.7,3.726,12760,"May 28, 2021","Paramount Pictures",7.7,2021,"Horror","Science Fiction",6.1e+07,"7acb1149-a528-3e17-944b-add929a4c5b1",3.36659480759248,2021-05-28,"Spring",28.75,1.47398348512706,8.43076346341785
"A Star Is Born",2989,2567,422,2989,0.858815657410505,306,42908051,215288866,19.9,3.686,11640,"Oct 5, 2018","Warner Bros.",9.4,2018,"Drama","Contemporary Fiction",3.6e+07,"a63be955-1d47-381f-b32b-04c2d32e44e1",5.01744686562436,2018-10-05,"Autumn",38.0833333333333,1.79466306066093,8.00302866638473
"Aladdin",17586,16349,1237,17586,0.929659956783805,87,91500929,355559216,25.7,4476,20442,"May 24, 2019","Walt Disney Studios Motion Pictures",8,2019,"Adventure","Fantasy",1.82e+08,"f26f39dc-a8ac-38ae-b51e-b30f59a677fe",3.88585361794523,2019-05-24,"Spring",33.1666666666667,1.58634401289949,9.77491527173636
"Alice in Wonderland",13276,10213,3063,13276,0.769282916541127,57,116101023,334191110,34.7,3728,31142,"Mar 5, 2010","Walt Disney Studios Motion Pictures",7.2,2010,"Adventure","Fantasy",2e+08,"7d3aec31-0e03-3122-ba80-c96e1d960729",2.87845103655977,2010-03-05,"Spring",26.0833333333333,1.35543585654521,9.4937884938959
"Alvin and the Chipmunks: The Squeakquel",4601,3400,1201,4601,0.738969789176266,259,48875415,219614612,22.3,3.7,13209,"Dec 23, 2009","Twentieth Century Fox",7.2,2009,"Adventure","Kids Fiction",7e+07,"373a578f-9fd6-35cf-91c0-85a6167b0a91",4.49335544260852,2009-12-23,"Winter",46.3055555555556,1.70353926055181,8.43424627059531
"Angels & Demons",14017,10939,3078,14017,0.780409502746665,278,46204168,133375846,34.6,3.527,13100,"May 15, 2009","Sony Pictures Releasing",5.8,2009,"Thriller","Contemporary Fiction",1.5e+08,"4e50d501-05c6-3f91-a80a-4ced31f6153d",2.8866626491359,2009-05-15,"Spring",26.2777777777778,1.35755085858369,9.54809749706027
"Ant-Man",3065,2880,185,3065,0.939641109298532,194,57225526,180202163,31.8,3.856,14840,"Jul 17, 2015","Walt Disney Studios Motion Pictures",6.7,2015,"Action","Super Hero",1.3e+08,"a0d8e1e3-2f44-3ceb-9576-fe587dac6a24",3.14898220420027,2015-07-17,"Summer",25.75,1.42286305216348,8.02812905943176
"Ant-Man and The Wasp",1517,1333,184,1517,0.878707976268952,119,75812205,216648740,0.35,4206,18024,"Jul 6, 2018","Walt Disney Studios Motion Pictures",5.9,2018,"Action","Super Hero",1.3e+08,"41ccc283-198e-3d38-bd20-dc6634bf300a",2.8577026614646,2018-07-06,"Summer",27.6666666666667,1.35007184087182,7.32514895795557
"Ant-Man and The Wasp: Quantumania",11206,9367,1839,11206,0.835891486703552,65,106109650,214504909,49.5,4345,24421,"Feb 17, 2023","Walt Disney Studios Motion Pictures",5.2,2023,"Action","Super Hero",2e+08,"431505cc-700e-4f8c-911a-2f3fcb2ac5a3",2.02154006727946,2023-02-17,"Winter",21.3611111111111,1.10576665745618,9.32429386205203
"Aquaman",4902,3878,1024,4902,0.791105671154631,150,67873522,335061807,20.3,4125,16454,"Dec 21, 2018","Warner Bros.",7.5,2018,"Action","Super Hero",1.6e+08,"a5235f6a-68cb-3d9c-ac34-711bc90d6f8f",4.93656137366792,2018-12-21,"Winter",45.8611111111111,1.78113007242922,8.49760254165123
"Avatar",58273,53638,4635,58273,0.920460590668062,117,77025481,749766139,10.3,3452,22313,"Dec 18, 2009","Twentieth Century Fox",14.8,2009,"Action","Science Fiction",2.37e+08,"f7970b0e-0f4c-391b-a841-1bf29e368b3e",9.73400138844962,2009-12-18,"Winter",46.9166666666667,2.37341640310526,10.9729113037396
"Avatar: The Way of Water",17211,15150,2061,17211,0.880251002265993,39,134100226,684075767,19.6,4202,31913,"Dec 16, 2022","20th Century Studios",11.1,2022,"Action","Science Fiction",4e+08,"6fbed893-5b71-3dc2-b35d-68ee630f6828",5.10122754752106,2022-12-16,"Winter",38.5,1.80848998823229,9.75336209395849
"Avengers: Age of Ultron",3606,3107,499,3606,0.861619523017194,10,191271109,459005868,41.7,4276,44731,"May 1, 2015","Walt Disney Studios Motion Pictures",7,2015,"Action","Super Hero",3.65e+08,"a0c4ef79-5e4c-399c-98c7-bdab95639511",2.39976581094639,2015-05-01,"Spring",23.0833333333333,1.22370655011642,8.19063168090354
"Avengers: Endgame",14193,12687,1506,14193,0.893891354893257,1,357115007,858373000,41.6,4662,76601,"Apr 26, 2019","Walt Disney Studios Motion Pictures",8.1,2019,"Action","Super Hero",4e+08,"7b2bcd9a-359f-3ffd-bbbd-abe9e5ce3f9e",2.40363183617204,2019-04-26,"Spring",24.7894736842105,1.22484304862564,9.56057461908493
"Avengers: Infinity War",7602,6697,905,7602,0.880952380952381,3,257698183,678815482,0.38,4474,57599,"Apr 27, 2018","Walt Disney Studios Motion Pictures",7.7,2018,"Action","Super Hero",3e+08,"8ef022ef-f88a-33c8-8f6e-ab87f5039eea",2.63414927531716,2018-04-27,"Spring",26.75,1.29037504654286,8.93629818522844
"Bad Boys for Life",9859,9458,401,9859,0.959326503702201,171,62504105,206305244,30.3,3.775,16557,"Jan 17, 2020","Sony Pictures Releasing",7.2,2020,"Action","Contemporary Fiction",9e+07,"262a9c51-54fb-3a7b-ba38-c8d8042ada8b",3.30066711618381,2020-01-17,"Winter",28.6388888888889,1.4587701539646,9.19624144759668
"Barbie",15416,11548,3868,15416,0.749091852620654,20,162022044,636238421,25.5,4243,38185,"Jul 21, 2023","Warner Bros.",9.5,2023,"Comedy","Contemporary Fiction",1.45e+08,"317d7155-533b-396f-8c1c-34a22e2e8ef9",3.92686331620406,2023-07-21,"Summer",31.0277777777778,1.5947025413877,9.64322607566034
"Batman Begins",600,569,31,600,0.948333333333333,261,48745440,205343774,23.7,3.858,12634,"Jun 15, 2005","Warner Bros.",6.8,2005,"Action","Super Hero",1.5e+08,"f03e65c8-70e8-34e2-bd3f-1a2efd916f3a",4.21257401717986,2005-06-15,"Summer",36.0277777777778,1.65107378696268,6.39859493453521
"Batman v Superman: Dawn of Justice",14389,10400,3989,14389,0.722774341510876,19,166007347,330360194,50.2,4242,39134,"Mar 25, 2016","Warner Bros.",5.9,2016,"Action","Super Hero",2.63e+08,"f93fd0e2-42cf-3425-86a4-96090ed8ec13",1.99003357363455,2016-03-25,"Spring",21.8333333333333,1.09528461597987,9.57428879988141
"Beauty and the Beast",2628,2223,405,2628,0.845890410958904,16,174750616,504014165,34.7,421,41508,"Mar 17, 2017","Walt Disney Studios Motion Pictures",8.5,2017,"Musical","Fantasy",1.6e+08,"34f61aeb-e296-3b46-9831-b0ce0c5bcfec",2.88419106345239,2017-03-17,"Spring",27.9166666666667,1.35691474166314,7.87435882472988
"Big Hero 6",2463,2381,82,2463,0.966707267559886,203,56215889,222527828,25.3,3.761,14947,"Nov 7, 2014","Walt Disney Studios Motion Pictures",8.7,2014,"Adventure","Super Hero",1.65e+08,"b923270d-59e5-3def-b2ea-dcf1ee2f0698",3.95845075046309,2014-11-07,"Autumn",29.5277777777778,1.60109334324886,7.80954132465341
"Black Adam",12769,11542,1227,12769,0.903907901950035,154,67004323,168152111,39.8,4402,15221,"Oct 21, 2022","Warner Bros.",6.5,2022,"Action","Super Hero",2e+08,"09a12550-c5fe-4b73-98fd-706cb694c324",2.50957107648114,2022-10-21,"Autumn",27.5,1.25549382957797,9.45485394902659
"Black Panther",9934,7761,2173,9934,0.781256291524059,8,202003951,700059566,28.9,402,50249,"Feb 16, 2018","Walt Disney Studios Motion Pictures",9.9,2018,"Action","Super Hero",2e+08,"e1374d4d-19b0-31b2-a6cc-c4189f2b27ca",3.46557363128011,2018-02-16,"Winter",28.5277777777778,1.49639767892762,9.20381915498592
"Black Panther: Wakanda Forever",10402,8950,1452,10402,0.860411459334743,13,181339761,453829060,0.4,4396,41251,"Nov 11, 2022","Walt Disney Studios Motion Pictures",8.3,2022,"Action","Super Hero",2.5e+08,"618ab0ee-b32e-36d1-a1ea-6e608003cdf2",2.50264507627756,2022-11-11,"Autumn",24.3055555555556,1.25351841914996,9.2498495050709
"Black Widow",7301,6078,1223,7301,0.832488700178058,108,80366312,183651655,43.8,416,19318,"Jul 9, 2021","Walt Disney Studios Motion Pictures",6,2021,"Action","Super Hero",2e+08,"9d36e70e-2ede-34a5-9f2e-8eae12cf7731",2.28518206733189,2021-07-09,"Summer",21.0555555555556,1.18942207424605,8.89590356221558
"Bohemian Rhapsody",4544,4346,198,4544,0.956426056338028,241,51061119,216428042,23.6,4,12765,"Nov 2, 2018","Twentieth Century Fox",8.8,2018,"Drama","Dramatization",5.5e+07,"529ce476-182d-3a9f-b51b-3b98445f83bc",4.23860750094411,2018-11-02,"Autumn",44.4444444444444,1.6560557189221,8.42178300661158
"Brave",4424,3924,500,4424,0.886980108499096,156,66323594,237283207,0.28,4164,15927,"Jun 22, 2012","Walt Disney Studios Motion Pictures",7.3,2012,"Adventure","Kids Fiction",1.85e+08,"df472820-9e50-3aa3-9edb-878a74fa26c0",3.57765906051472,2012-06-22,"Summer",32.9722222222222,1.52118774530028,8.39502555744203
"Captain America: Civil War",3552,3042,510,3552,0.856418918918919,14,179139142,408084349,43.9,4226,42389,"May 6, 2016","Walt Disney Studios Motion Pictures",6,2016,"Action","Super Hero",2.5e+08,"e6eb9e3e-4a72-33a7-b44e-1f8cadf1dd8f",2.27803005219261,2016-05-06,"Spring",24.7222222222222,1.18724264812361,8.17554759602103
"Captain America: The First Avenger",6335,5425,910,6335,0.856353591160221,163,65058524,176654505,36.8,3715,17512,"Jul 22, 2011","Paramount Pictures",5.7,2011,"Action","Super Hero",1.4e+08,"b4b3abfc-eb38-33d1-ba76-e1e3ea823f1a",2.7153168276612,2011-07-22,"Summer",25.6388888888889,1.3124639578876,8.75400293349426
"Captain America: The Winter Soldier",4507,4336,171,4507,0.962059019303306,80,95023721,259766572,36.6,3938,24129,"Apr 4, 2014","Walt Disney Studios Motion Pictures",7,2014,"Action","Super Hero",1.7e+08,"caf7974e-b836-3c04-95ab-3e77e3826a19",2.73370237732534,2014-04-04,"Spring",26.2777777777778,1.31740033581678,8.41360887515967
"Captain Marvel",25734,13705,12029,25734,0.532563923214424,25,153433423,426829839,0.36,431,35599,"Mar 8, 2019","Walt Disney Studios Motion Pictures",7.9,2019,"Action","Super Hero",1.75e+08,"bfd2fd97-a33c-3aad-8684-772d88959b5a",2.78185698170861,2019-03-08,"Spring",23.0277777777778,1.33021515400263,10.1556072120869
"Cars",2847,2556,291,2847,0.897787144362487,183,60119509,244082982,24.6,3.985,15086,"Jun 9, 2006","Walt Disney Studios Motion Pictures",7.7,2006,"Adventure","Kids Fiction",7e+07,"36d1101e-542a-33a8-a5d7-dbf4f0fa70d9",4.05996299803447,2006-06-09,"Summer",44.6944444444444,1.62135917063123,7.95437227253187
"Cars 2",2542,1677,865,2542,0.659716758457907,157,66135507,191452396,34.5,4115,16071,"Jun 24, 2011","Walt Disney Studios Motion Pictures",6.3,2011,"Adventure","Kids Fiction",2e+08,"aa71e4b2-3771-3534-8320-4422ef974940",2.89485035625417,2011-06-24,"Summer",32.2777777777778,1.35965525913773,7.84109976542212
"Cars 3",536,419,117,536,0.781716417910448,229,53688680,152901115,35.1,4.256,12614,"Jun 16, 2017","Walt Disney Studios Motion Pictures",5.7,2017,"Adventure","Kids Fiction",1.75e+08,"aad99a7c-6539-37a4-922c-4734cf84ef4f",2.84792092113272,2017-06-16,"Summer",29.9444444444444,1.34753298195111,6.28599809450886
"Charlie and the Chocolate Factory",370,329,41,370,0.889189189189189,204,56178450,206459076,27.2,3.77,14901,"Jul 15, 2005","Warner Bros.",7.7,2005,"Adventure","Kids Fiction",1.5e+08,"a23fa525-61d4-39cf-949f-d67bf0647574",3.67505824742406,2005-07-15,"Summer",31.0555555555556,1.54224162200508,5.91620206260743
"Cinderella",1563,1435,128,1563,0.918106206014075,149,67877361,201151353,33.7,3845,17653,"Mar 13, 2015","Walt Disney Studios Motion Pictures",7.3,2015,"Drama","Fantasy",9.5e+07,"05b4fb41-30fe-3ad8-a320-248dde3dae2b",2.96345276299118,2015-03-13,"Spring",26.25,1.37711555522006,7.35500192110526
"Clash of the Titans",8466,4844,3622,8466,0.572171037089535,176,61235105,163214888,37.5,3.777,16212,"Apr 2, 2010","Warner Bros.",6,2010,"Action","Fantasy",1.25e+08,"6c5cfe44-54a9-39c3-9462-5e11a6f1d958",2.66538104245922,2010-04-02,"Spring",26.5833333333333,1.29893229786317,9.04393153364228
"Coco",1760,1687,73,1760,0.958522727272727,244,50802605,210460015,24.1,3.987,12742,"Nov 22, 2017","Walt Disney Studios Motion Pictures",7.7,2017,"Musical","Kids Fiction",1.75e+08,"e409e2f7-0f17-333f-bb91-04fb5f69cbd0",4.14270124533968,2017-11-22,"Autumn",42.3333333333333,1.63757847553516,7.47363710849621
"Creed III",3959,3724,235,3959,0.940641576155595,190,58370007,156248615,37.4,4.007,14567,"Mar 3, 2023","United Artists Releasing",5.5,2023,"Drama","Contemporary Fiction",7.5e+07,"daf1e5ee-6493-31a2-8e3e-691859c004e6",2.67686476378185,2023-03-03,"Spring",28.4444444444444,1.30206042268761,8.28399930424853
"Dawn of the Planet of the Apes",3833,3484,349,3833,0.908948604226455,127,72611427,208545589,34.8,3967,18303,"Jul 11, 2014","Twentieth Century Fox",5.5,2014,"Adventure","Science Fiction",1.7e+08,"333e80e0-9a43-3257-9c5d-48aee0fa1568",2.87207671872362,2014-07-11,"Summer",26.5277777777778,1.35379098293799,8.25166392360559
"Deadpool",5565,5123,442,5565,0.920575022461815,42,132434639,363070709,36.5,3558,37221,"Feb 12, 2016","Twentieth Century Fox",7.7,2016,"Action","Super Hero",5.8e+07,"d786d56f-0745-3f2a-96c1-edf7a3711571",2.7415086546957,2016-02-12,"Winter",26.5,1.31948891369762,8.62443194208584
"Deadpool 2",2722,2417,305,2722,0.887950036737693,46,125507153,318491426,39.4,4349,28858,"May 18, 2018","Twentieth Century Fox",7.1,2018,"Action","Super Hero",1.1e+08,"71e176b9-ce85-309f-b2f9-b9d18b60fce6",2.53763565173054,2018-05-18,"Spring",26.6944444444444,1.26345860901309,7.90948949267376
"Despicable Me",5483,5051,432,5483,0.921211015867226,199,56397125,251639815,22.4,3.476,16224,"Jul 9, 2010","Universal Pictures",9.3,2010,"Adventure","Kids Fiction",6.9e+07,"ddf0452e-871d-3ac4-91e4-787b07ec047b",4.46192629500174,2010-07-09,"Summer",30.75,1.69780152881944,8.6095900406822
